"","plotID","ID","typeSample","typeCode","timeSample","DiseaseStatus","manager.x","variety.x","DNA_Location","DNA_Plate","DNA_Row","DNA_Col","site","manager.y","managerPlotName","FHBresistance","block","variety.y","lat","long","harvestWeight.lbs","moistPerc","testWeight.lbsPerBu","yield.lbsPerAcre","harvestLength","FHBSeverity","FgTa.Mean","FgTa.SD","FgTa.CV","DON.Mean.R1","DON.CV.R1","DON.Mean.R2","DON.CV.R2"
"D01-T1","01","D01-T1","debris","D","T1","","Allen","495","P1-F11","P1","F","11","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"L01-T3","01","L01-T3","leaf","L","T3","","Allen","495","P1-E7","P1","E","7","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"H01-T5-LO","01","H01-T5-LO","head","H","T5","Lo","Allen","495","P3-D3","P3","D","3","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"H01-T3","01","H01-T3","head","H","T3","","Allen","495","P1-C12","P1","C","12","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"D01-T2","01","D01-T2","debris","D","T2","","Allen","495","P1-C6","P1","C","6","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"H01-T5-HI","01","H01-T5-HI","head","H","T5","Hi","Allen","495","P1-H1","P1","H","1","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"L01-T2","01","L01-T2","leaf","L","T2","","Allen","495","P1-C2","P1","C","2","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"L01-T4","01","L01-T4","leaf","L","T4","","Allen","495","P1-C4","P1","C","4","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"H01-T4","01","H01-T4","head","H","T4","","Allen","495","P2-H12","P2","H","12","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"L01-T1","01","L01-T1","leaf","L","T1","","Allen","495","P2-H2","P2","H","2","Urbana","Allen",NA,"8","1","AgriMaxx-495",40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915
"H02-T3","02","H02-T3","head","H","T3","","Allen","492","P2-D2","P2","D","2","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"D02-T2","02","D02-T2","debris","D","T2","","Allen","492","P3-B7","P3","B","7","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"L02-T1","02","L02-T1","leaf","L","T1","","Allen","492","P2-D6","P2","D","6","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"H02-T5-LO","02","H02-T5-LO","head","H","T5","Lo","Allen","492","P1-H8","P1","H","8","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"D02-T1","02","D02-T1","debris","D","T1","","Allen","492","P2-D8","P2","D","8","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"L02-T3","02","L02-T3","leaf","L","T3","","Allen","492","P2-G6","P2","G","6","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"L02-T2","02","L02-T2","leaf","L","T2","","Allen","492","P1-A5","P1","A","5","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"H02-T4","02","H02-T4","head","H","T4","","Allen","492","P1-H9","P1","H","9","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"L02-T4","02","L02-T4","leaf","L","T4","","Allen","492","P1-G5","P1","G","5","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"H02-T5-HI","02","H02-T5-HI","head","H","T5","Hi","Allen","492","P2-E9","P2","E","9","Urbana","Allen",NA,"5","1","AgriMaxx-492",40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031
"D03-T2","03","D03-T2","debris","D","T2","","Allen","505","P1-E3","P1","E","3","Urbana","Allen",NA,"9","1","AgriMaxx-505",40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263
"L03-T3","03","L03-T3","leaf","L","T3","","Allen","505","P1-D9","P1","D","9","Urbana","Allen",NA,"9","1","AgriMaxx-505",40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263
"H03-T3","03","H03-T3","head","H","T3","","Allen","505","P1-E5","P1","E","5","Urbana","Allen",NA,"9","1","AgriMaxx-505",40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263
"H03-T5-LO","03","H03-T5-LO","head","H","T5","Lo","Allen","505","P1-B4","P1","B","4","Urbana","Allen",NA,"9","1","AgriMaxx-505",40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263
"D03-T1","03","D03-T1","debris","D","T1","","Allen","505","P1-D5","P1","D","5","Urbana","Allen",NA,"9","1","AgriMaxx-505",40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263
"L03-T1","03","L03-T1","leaf","L","T1","","Allen","505","P3-F2","P3","F","2","Urbana","Allen",NA,"9","1","AgriMaxx-505",40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263
"H03-T4","03","H03-T4","head","H","T4","","Allen","505","P1-B5","P1","B","5","Urbana","Allen",NA,"9","1","AgriMaxx-505",40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263
