,plotID,ID,timeDisSite,typeSample,typeCode,timeSample,DiseaseStatus,variety.x,site,block,lat,long,moistPerc,testWeight.lbsPerBu,yield.lbsPerAcre,FgTa.Mean,DON.Mean.R1,fungiDepth,Sdiv
1,1,D01-T1,T1_Urbana,debris,D,T1,,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,49928,106
2,1,D01-T2,T2_Urbana,debris,D,T2,,495,Urbana,1,40.0811,-88.224217,16.2,54,85.9271635,0.319,0.682907417,38765,124
3,2,D02-T1,T1_Urbana,debris,D,T1,,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,73757,122
4,2,D02-T2,T2_Urbana,debris,D,T2,,492,Urbana,1,40.081033,-88.224233,16.7,54.5,90.12591455,0.238,0.640025256,135111,170
5,3,D03-T1,T1_Urbana,debris,D,T1,,505,Urbana,1,40.080967,-88.224217,14.5,54,87.62127144,0.27,0.60323442,41995,101
6,3,D03-T2,T2_Urbana,debris,D,T2,,505,Urbana,1,40.080967,-88.224217,14.5,54,87.62127144,0.27,0.60323442,13372,72
7,4,D04-T1,T1_Urbana,debris,D,T1,,492,Urbana,2,40.080883,-88.224217,16.8,54.8,84.09715422,0.304,1.36030844,132979,145
8,4,D04-T2,T2_Urbana,debris,D,T2,,492,Urbana,2,40.080883,-88.224217,16.8,54.8,84.09715422,0.304,1.36030844,45185,134
9,5,D05-T1,T1_Urbana,debris,D,T1,,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,42074,97
10,5,D05-T2,T2_Urbana,debris,D,T2,,495,Urbana,2,40.0808,-88.2242,15,53.7,86.6417219,0.396,0.8113629,41050,95
11,6,D06-T1,T1_Urbana,debris,D,T1,,505,Urbana,2,40.0807,-88.2242,14.8,53.8,89.66943726,0.206,0.926120698,25870,94
12,6,D06-T2,T2_Urbana,debris,D,T2,,505,Urbana,2,40.0807,-88.2242,14.8,53.8,89.66943726,0.206,0.926120698,8814,59
13,7,D07-T1,T1_Urbana,debris,D,T1,,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,35092,88
14,7,D07-T2,T2_Urbana,debris,D,T2,,505,Urbana,3,40.080617,-88.224217,14.6,53.8,87.19115163,0.344,1.210931578,35464,90
15,8,D08-T1,T1_Urbana,debris,D,T1,,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,421332,201
16,8,D08-T2,T2_Urbana,debris,D,T2,,492,Urbana,3,40.08055,-88.2242,16.6,54.8,89.09364569,0.271,0.611190664,35758,111
17,9,D09-T1,T1_Urbana,debris,D,T1,,495,Urbana,3,40.080467,-88.224217,14.6,53.6,91.02877439,0.343,1.839521442,39205,83
18,9,D09-T2,T2_Urbana,debris,D,T2,,495,Urbana,3,40.080467,-88.224217,14.6,53.6,91.02877439,0.343,1.839521442,13539,75
19,10,D10-T1,T1_Urbana,debris,D,T1,,495,Urbana,4,40.080383,-88.224217,14.8,53.7,90.1596781,0.343,0.920444599,64974,107
20,10,D10-T2,T2_Urbana,debris,D,T2,,495,Urbana,4,40.080383,-88.224217,14.8,53.7,90.1596781,0.343,0.920444599,74693,136
21,11,D11-T1,T1_Urbana,debris,D,T1,,505,Urbana,4,40.0803,-88.224217,14.4,53.3,89.32538216,0.2,0.553794775,190207,156
22,11,D11-T2,T2_Urbana,debris,D,T2,,505,Urbana,4,40.0803,-88.224217,14.4,53.3,89.32538216,0.2,0.553794775,172873,174
23,12,D12-T1,T1_Urbana,debris,D,T1,,492,Urbana,4,40.080217,-88.224217,16.1,54.5,86.44245854,0.306,0.989690041,58299,124
24,12,D12-T2,T2_Urbana,debris,D,T2,,492,Urbana,4,40.080217,-88.224217,16.1,54.5,86.44245854,0.306,0.989690041,23696,109
25,13,D13-T1,T1_Ewing,debris,D,T1,,492,Ewing,1,38.096467,-88.8457,13.6,56.7,70.84903329,0.665,3.722755801,42365,91
26,13,D13-T2,T2_Ewing,debris,D,T2,,492,Ewing,1,38.096467,-88.8457,13.6,56.7,70.84903329,0.665,3.722755801,37818,204
27,14,D14-T1,T1_Ewing,debris,D,T1,,495,Ewing,1,38.096467,-88.845633,13,58.1,76.37687861,0.365,1.576142686,22317,101
28,14,D14-T2,T2_Ewing,debris,D,T2,,495,Ewing,1,38.096467,-88.845633,13,58.1,76.37687861,0.365,1.576142686,60870,176
29,15,D15-T1,T1_Ewing,debris,D,T1,,505,Ewing,1,38.096467,-88.845567,13.5,55.5,74.26896552,0.333,1.01803183,59256,121
30,15,D15-T2,T2_Ewing,debris,D,T2,,505,Ewing,1,38.096467,-88.845567,13.5,55.5,74.26896552,0.333,1.01803183,65871,195
31,16,D16-T1,T1_Ewing,debris,D,T1,,495,Ewing,2,38.096467,-88.8455,13.3,55.1,67.74938808,0.23,1.286261614,38936,101
32,16,D16-T2,T2_Ewing,debris,D,T2,,495,Ewing,2,38.096467,-88.8455,13.3,55.1,67.74938808,0.23,1.286261614,14495,107
33,17,D17-T1,T1_Ewing,debris,D,T1,,492,Ewing,2,38.096467,-88.845417,13.4,54.6,70.1775882,0.696,4.50379559,69471,130
