,Feature.ID,Confidence,domain,phylum,class,order,family,genus,species,SH,check
1,ASV1,0.946394356,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_herbarum,SH1335104.10FU,
2,ASV2,0.999345555,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA,NA,
3,ASV3,0.996427296,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_herbarum,SH1335104.10FU,
4,ASV4,0.999904166,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,
5,ASV5,0.99805298,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA,NA,
6,ASV6,0.999936536,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma_victoriae,SH1303804.10FU,
7,ASV7,0.999996118,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,NA,NA,
8,ASV8,0.902475592,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Glomerellaceae,Sporobolomyces,Sporobolomyces_roseus,SH1273273.10FU,
9,ASV9,0.994280506,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,Bullera_alba,SH1204217.10FU,
10,ASV10,0.999751816,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremaceae,Papiliotrema,Papiliotrema_frias,SH1402560.10FU,
11,ASV11,1,Fungi,NA,NA,NA,NA,NA,NA,NA,yes
12,ASV12,0.999618792,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella_luteola,SH1135756.10FU,
13,ASV13,0.997498783,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA,NA,
14,ASV14,0.885426528,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_armeniacum,NA,
15,ASV15,0.988200411,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,Hannaella_zeae,SH1135730.10FU,
16,ASV16,0.797153484,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,Sporobolomyces_roseus,SH1273273.10FU,
