"","Feature.ID","Confidence","domain","phylum","class","order","family","genus","species","SH"
"1","ASV1",0.946394356359482,"Fungi","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Cladosporium","Cladosporium_herbarum","SH1335104.10FU"
"2","ASV10",0.999751815683141,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremaceae","Papiliotrema","Papiliotrema_frias","SH1402560.10FU"
"3","ASV100",0.789276462034172,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Cercospora",NA,NA
"4","ASV1000",0.714677932842057,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Didymocyrtis","Didymocyrtis_pini","SH1311120.10FU"
"5","ASV1001",0.979126672394118,"Fungi","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Fungi_sp","SH1366076.10FU"
"6","ASV1002",0.999832269211174,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Stagonospora","Stagonospora_foliicola","SH1408757.10FU"
"7","ASV1003",0.999994471133271,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_gen_Incertae_sedis","Chaetothyriales_sp","SH1265201.10FU"
"8","ASV1004",0.847258105652975,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris","Bipolaris_cynodontis","SH1663108.10FU"
"9","ASV1005",0.996083181170811,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Mycosphaerella","Mycosphaerella_latebrosa","SH1347046.10FU"
"10","ASV1006",0.999980524393209,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,NA
"11","ASV1007",0.841533329364076,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Limonomyces","Limonomyces_sp",NA
"12","ASV1008",0.999824142530971,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp","SH1337750.10FU"
"13","ASV1009",0.775283202029701,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothiora","Dothiora_prunorum","SH1778599.10FU"
"14","ASV101",0.796781488239333,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma_tephrensis","SH1303771.10FU"
"15","ASV1010",0.99999900288104,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_typharum","SH1331838.10FU"
"16","ASV1011",0.999986218976923,"Fungi","Ascomycota","Taphrinomycetes","Taphrinales","Taphrinaceae","Taphrina",NA,NA
"17","ASV1012",0.76173630542193,"Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","Trametes_versicolor","SH1088860.10FU"
"18","ASV1013",0.987605517965114,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp","SH1409007.10FU"
"19","ASV1014",0.994095655990279,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis","Botrytis_caroliniana","SH1336761.10FU"
"20","ASV1015",0.974445266161316,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae",NA,NA,NA
"21","ASV1016",0.912378360044495,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,NA
"22","ASV1019",0.998767854507986,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella","Hannaella_luteola","SH1135756.10FU"
"23","ASV102",0.99892016235571,"Fungi","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Fungi_sp","SH1338547.10FU"
"24","ASV1020",0.771945078927478,"Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis","Ascomycota_sp","SH1383604.10FU"
"25","ASV1021",0.769390225997439,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sporotrichioides",NA
"26","ASV1022",0.999882541902819,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Diatrypaceae_gen_Incertae_sedis","Diatrypaceae_sp","SH1168675.10FU"
"27","ASV1023",0.94729664473848,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Trichomerium","Trichomerium_dioscoreae","SH1341804.10FU"
"28","ASV1024",0.73977748205168,"Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Dothideomycetes_fam_Incertae_sedis","Radulidium","Radulidium_subulatum","SH1169751.10FU"
"29","ASV1026",0.907559560225148,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremaceae","Papiliotrema","Papiliotrema_aurea","SH1941047.10FU"
"30","ASV1027",0.782757802050731,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella",NA,NA
"31","ASV1028",0.982467812072547,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora","Murispora_hawksworthii","SH1970013.10FU"
"32","ASV1029",0.99997475391775,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia_rishiriensis","SH1051500.10FU"
"33","ASV103",0.78381893795072,"Fungi","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis","Ascomycota_sp",NA
"34","ASV1030",0.774387680062554,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_sp","SH1408887.10FU"
"35","ASV1031",0.999689573633456,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae",NA,NA,NA
"36","ASV1032",0.946770930901236,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,NA
"37","ASV1033",0.968323866352613,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideales_fam_Incertae_sedis",NA,NA,NA
"38","ASV1034",0.823722521479503,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp","SH1409007.10FU"
"39","ASV1035",0.999994854080877,"Fungi","Basidiomycota","Spiculogloeomycetes","Spiculogloeomycetes_ord_Incertae_sedis","Spiculogloeomycetes_fam_Incertae_sedis","Meniscomyces","Meniscomyces_layueensis","SH1295304.10FU"
"40","ASV1036",0.999999988321376,"Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium",NA,NA
"41","ASV1037",0.999897784077814,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,NA
"42","ASV1038",0.963100290804808,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Rhexocercosporidium","Rhexocercosporidium_panacis","SH1396974.10FU"
"43","ASV1039",0.930074845006396,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Pleosporales_sp","SH1061741.10FU"
"44","ASV104",0.890800693190806,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans","SH1290132.10FU"
"45","ASV1040",0.950784914622311,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremaceae","Papiliotrema","Papiliotrema_aurea","SH1941047.10FU"
"46","ASV1042",0.958228379709433,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
"47","ASV1043",0.999978125146161,"Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetales_fam_Incertae_sedis","Spizellomycetales_gen_Incertae_sedis","Spizellomycetales_sp","SH1200188.10FU"
"48","ASV1044",0.999999928074658,"Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium",NA,NA
"49","ASV1045",0.813143168660582,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium",NA,NA
"50","ASV1046",0.999582423551171,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma",NA,NA
"51","ASV1047",0.999999868032939,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Erysiphaceae","Neoerysiphe","Neoerysiphe_galeopsidis","SH1357459.10FU"
"52","ASV1048",0.802108969392294,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,NA
"53","ASV1049",0.897997250859691,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis",NA,NA,NA
"54","ASV105",0.999988842150791,"Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium_oeirense","SH1665267.10FU"
"55","ASV1050",0.999999109335562,"Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,NA
"56","ASV1053",0.998793049252611,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae",NA,NA,NA
"57","ASV1054",0.710260520103345,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia","Ramularia_collo-cygni","SH1860943.10FU"
"58","ASV1055",0.982769018404451,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Rhexocercosporidium","Rhexocercosporidium_panacis","SH1396974.10FU"
"59","ASV1056",0.904198401497513,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","Dioszegia_dumuzii","SH1051495.10FU"
"60","ASV1057",0.980567014894539,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Didymocyrtis",NA,NA
"61","ASV1058",0.727088956781071,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neosetophoma",NA,NA
"62","ASV1059",0.968642699497128,"Fungi","Basidiomycota","Exobasidiomycetes","Tilletiales","Tilletiaceae","Tilletia","Tilletia_indica","SH1190324.10FU"
"63","ASV106",0.906801770758085,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremaceae","Papiliotrema","Papiliotrema_aurea","SH1941047.10FU"
"64","ASV1060",0.94518461167603,"Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",NA,NA
"65","ASV1061",0.966537959855378,"Fungi","Basidiomycota","Exobasidiomycetes","Microstromatales","Microstromataceae","Microstroma","Microstroma_bacarum","SH1160514.10FU"
"66","ASV1062",0.999929983283003,"Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,NA
