"","D_ID","Type","Source"
"1","01","D_K_T1",0.864683573695209
"2","01","D_U_T1",0.135316426304791
"3","01","H_K_T3",0.763499540441176
"4","01","H_U_T3",0.236500459558824
"5","01","H_K_Lo_T4",0.901411117533335
"6","01","H_U_Lo_T4",0.0985888824666653
"7","01","H_K_Hi_T4",0.903429355281207
"8","01","H_U_Hi_T4",0.0965706447187928
"9","01","L_K_T1",0.528779739063699
"10","01","L_U_T1",0.471220260936301
"11","01","L_K_T2",0.265402843601896
"12","01","L_U_T2",0.734597156398104
"13","01","L_K_T3",0
"14","01","L_U_T3",1
"15","02","D_K_T1",0.921852425180599
"16","02","D_U_T1",0.0781475748194014
"17","02","H_K_T3",0.675494025735294
"18","02","H_U_T3",0.324505974264706
"19","02","H_K_Lo_T4",0.876331389464553
"20","02","H_U_Lo_T4",0.123668610535447
"21","02","H_K_Hi_T4",0.952968938645593
"22","02","H_U_Hi_T4",0.0470310613544068
"23","02","L_K_T1",0.471220260936301
"24","02","L_U_T1",0.528779739063699
"25","02","L_K_T2",0.183254344391785
"26","02","L_U_T2",0.816745655608215
"27","02","L_K_T3",0.113522537562604
"28","02","L_U_T3",0.886477462437396
"29","03","D_K_T1",0.834355369428657
"30","03","D_U_T1",0.165644630571343
"31","03","H_K_T3",0.592564729484045
"32","03","H_U_T3",0.407435270515955
"33","03","H_K_Lo_T4",0.914228135474717
"34","03","H_U_Lo_T4",0.0857718645252833
"35","03","H_K_Hi_T4",0.965210711150132
"36","03","H_U_Hi_T4",0.0347892888498683
"37","03","L_K_T1",NA
"38","03","L_U_T1",NA
"39","03","L_K_T2",0
"40","03","L_U_T2",1
"41","03","L_K_T3",NA
"42","03","L_U_T3",NA
"43","04","D_K_T1",0.950772723754483
"44","04","D_U_T1",0.0492272762455171
"45","04","H_K_T3",0.849086941541289
"46","04","H_U_T3",0.150913058458711
"47","04","H_K_Lo_T4",0.896978514768605
"48","04","H_U_Lo_T4",0.103021485231395
"49","04","H_K_Hi_T4",0.941234567901235
"50","04","H_U_Hi_T4",0.0587654320987655
"51","04","L_K_T1",NA
"52","04","L_U_T1",NA
"53","04","L_K_T2",NA
"54","04","L_U_T2",NA
"55","04","L_K_T3",NA
"56","04","L_U_T3",NA
"57","05","D_K_T1",0.96762209437321
"58","05","D_U_T1",0.0323779056267898
"59","05","H_K_T3",0.777822441713564
"60","05","H_U_T3",0.222177558286436
"61","05","H_K_Lo_T4",0.882855233522263
"62","05","H_U_Lo_T4",0.117144766477737
"63","05","H_K_Hi_T4",0.962890465704266
"64","05","H_U_Hi_T4",0.0371095342957344
"65","05","L_K_T1",0.00920951650038373
"66","05","L_U_T1",0.990790483499616
"67","05","L_K_T2",0
"68","05","L_U_T2",1
"69","05","L_K_T3",0
"70","05","L_U_T3",1
"71","06","D_K_T1",0.948717948717949
"72","06","D_U_T1",0.0512820512820513
"73","06","H_K_T3",0.81962788560928
"74","06","H_U_T3",0.18037211439072
"75","06","H_K_Lo_T4",0.79048951048951
"76","06","H_U_Lo_T4",0.20951048951049
"77","06","H_K_Hi_T4",0.85283785267318
"78","06","H_U_Hi_T4",0.14716214732682
"79","06","L_K_T1",NA
"80","06","L_U_T1",NA
"81","06","L_K_T2",NA
"82","06","L_U_T2",NA
"83","06","L_K_T3",NA
"84","06","L_U_T3",NA
"85","07","D_K_T1",0.952398409520318
"86","07","D_U_T1",0.0476015904796819
"87","07","H_K_T3",0.724485054979093
"88","07","H_U_T3",0.275514945020907
"89","07","H_K_Lo_T4",0.864686468646865
"90","07","H_U_Lo_T4",0.135313531353135
"91","07","H_K_Hi_T4",0.848880597014925
"92","07","H_U_Hi_T4",0.151119402985075
"93","07","L_K_T1",NA
"94","07","L_U_T1",NA
"95","07","L_K_T2",NA
"96","07","L_U_T2",NA
"97","07","L_K_T3",0.449081803005008
"98","07","L_U_T3",0.550918196994992
"99","08","D_K_T1",0.976033335197718
"100","08","D_U_T1",0.023966664802282
"101","08","H_K_T3",0.800873011314686
"102","08","H_U_T3",0.199126988685314
"103","08","H_K_Lo_T4",0.902992734919227
"104","08","H_U_Lo_T4",0.0970072650807729
"105","08","H_K_Hi_T4",0.885102880658436
"106","08","H_U_Hi_T4",0.114897119341564
"107","08","L_K_T1",0.0276285495011512
"108","08","L_U_T1",0.972371450498849
"109","08","L_K_T2",0.0252764612954186
"110","08","L_U_T2",0.974723538704581
"111","08","L_K_T3",0.228714524207012
"112","08","L_U_T3",0.771285475792988
"113","09","D_K_T1",0.95420636679223
"114","09","D_U_T1",0.0457936332077702
"115","09","H_K_T3",0.89657746640634
"116","09","H_U_T3",0.10342253359366
"117","09","H_K_Lo_T4",0.934677514444051
"118","09","H_U_Lo_T4",0.0653224855559486
"119","09","H_K_Hi_T4",0.965978928884987
"120","09","H_U_Hi_T4",0.0340210711150132
"121","09","L_K_T1",NA
"122","09","L_U_T1",NA
"123","09","L_K_T2",NA
"124","09","L_U_T2",NA
"125","09","L_K_T3",NA
"126","09","L_U_T3",NA
"127","10","D_K_T1",0.816903588658703
