"","ID","Type","Source"
"1","01","K_T1",0.853297442799462
"2","01","U_T1",0.146702557200538
"3","01","K_T2",0.671527244819647
"4","01","U_T2",0.328472755180353
"5","01","K_T3",0.120385232744783
"6","01","U_T3",0.879614767255217
"7","01","K_T4",0.133898305084746
"8","01","U_T4",0.866101694915254
"9","02","K_T1",0.78968412634946
"10","02","U_T1",0.21031587365054
"11","02","K_T2",0.69071373752878
"12","02","U_T2",0.30928626247122
"13","02","K_T3",0.107544141252006
"14","02","U_T3",0.892455858747994
"15","02","K_T4",0.246179966044143
"16","02","U_T4",0.753820033955857
"17","03","K_T1",NA
"18","03","U_T1",NA
"19","03","K_T2",0.116521739130435
"20","03","U_T2",0.883478260869565
"21","03","K_T3",0.0789889415481832
"22","03","U_T3",0.921011058451817
"23","03","K_T4",NA
"24","03","U_T4",NA
"25","04","K_T1",0.930551816958277
"26","04","U_T1",0.0694481830417227
"27","04","K_T2",NA
"28","04","U_T2",NA
"29","04","K_T3",NA
"30","04","U_T3",NA
"31","04","K_T4",NA
"32","04","U_T4",NA
"33","05","K_T1",0.863795423956931
"34","05","U_T1",0.136204576043069
"35","05","K_T2",0.00614911606456572
"36","05","U_T2",0.993850883935434
"37","05","K_T3",0.0387722132471728
"38","05","U_T3",0.961227786752827
"39","05","K_T4",0.251264755480607
"40","05","U_T4",0.748735244519393
"41","06","K_T1",NA
"42","06","U_T1",NA
"43","06","K_T2",NA
"44","06","U_T2",NA
"45","06","K_T3",0.1312
"46","06","U_T3",0.8688
"47","06","K_T4",NA
"48","06","U_T4",NA
"49","07","K_T1",0.764199192462988
"50","07","U_T1",0.235800807537012
"51","07","K_T2",NA
"52","07","U_T2",NA
"53","07","K_T3",0.00634920634920635
"54","07","U_T3",0.993650793650794
"55","07","K_T4",0.107202680067002
"56","07","U_T4",0.892797319932998
"57","08","K_T1",0.948317631224765
"58","08","U_T1",0.0516823687752355
"59","08","K_T2",0.306216423637759
"60","08","U_T2",0.693783576362241
"61","08","K_T3",0.323671497584541
"62","08","U_T3",0.676328502415459
"63","08","K_T4",0.271646859083192
"64","08","U_T4",0.728353140916808
