ID,typeSample,typeCode,plotID,timeSample,DiseaseStatus,manager,variety,QuantIt_ngperuL,uLSample_normalize,uLWater_normalize,DNA_Location,DNA_Plate,DNA_Row,DNA_Col
PCR1-Blk-A,negative,,,,,,,0.3,As Is,0,P1-F3,P1,F,3
PCR1-Blk-B,negative,,,,,,,-0.05,As Is,0,P2-A9,P2,A,9
PCR1-Blk-C,negative,,,,,,,-0.15,As Is,0,P3-G2,P3,G,2
PCR2-Blank,negative,,,,,,,,,,,,,
D01-T1,debris,D,P_01,T1,,Allen,495,13.49,10,3.49,P1-F11,P1,F,11
D02-T1,debris,D,P_02,T1,,Allen,492,10.64,10,0.64,P2-D8,P2,D,8
D03-T1,debris,D,P_03,T1,,Allen,505,9.06,As Is,0,P1-D5,P1,D,5
D04-T1,debris,D,P_04,T1,,Allen,492,12.72,10,2.72,P3-D6,P3,D,6
D05-T1,debris,D,P_05,T1,,Allen,495,6.65,As Is,0,P2-F12,P2,F,12
D06-T1,debris,D,P_06,T1,,Allen,505,22.58,10,12.58,P1-A8,P1,A,8
D07-T1,debris,D,P_07,T1,,Allen,505,41.12,10,31.12,P1-E10,P1,E,10
D08-T1,debris,D,P_08,T1,,Allen,492,21.61,10,11.61,P3-F6,P3,F,6
D09-T1,debris,D,P_09,T1,,Allen,495,15.91,10,5.91,P2-F6,P2,F,6
D10-T1,debris,D,P_10,T1,,Allen,495,11.8,10,1.8,P2-D12,P2,D,12
D11-T1,debris,D,P_11,T1,,Allen,505,29.33,10,19.33,P3-H4,P3,H,4
D12-T1,debris,D,P_12,T1,,Allen,492,10.87,10,0.87,P1-G11,P1,G,11
D13-T1,debris,D,P_13,T1,,Talon,492,13.99,10,3.99,P1-H3,P1,H,3
D14-T1,debris,D,P_14,T1,,Talon,495,13.01,10,3.01,P2-B2,P2,B,2
D15-T1,debris,D,P_15,T1,,Talon,505,25.1,10,15.1,P3-F5,P3,F,5
D16-T1,debris,D,P_16,T1,,Talon,495,19.48,10,9.48,P2-G5,P2,G,5
D17-T1,debris,D,P_17,T1,,Talon,492,14.59,10,4.59,P2-G10,P2,G,10
D18-T1,debris,D,P_18,T1,,Talon,505,18.77,10,8.77,P2-H7,P2,H,7
D19-T1,debris,D,P_19,T1,,Talon,505,19.57,10,9.57,P1-A1,P1,A,1
D20-T1,debris,D,P_20,T1,,Talon,495,4.83,As Is,0,P2-F7,P2,F,7
D21-T1,debris,D,P_21,T1,,Talon,492,17.33,10,7.33,P3-C5,P3,C,5
D22-T1,debris,D,P_22,T1,,Talon,495,10.58,10,0.58,P3-C1,P3,C,1
D23-T1,debris,D,P_23,T1,,Talon,505,7.37,As Is,0,P1-B6,P1,B,6
D24-T1,debris,D,P_24,T1,,Talon,492,9.08,As Is,0,P1-G7,P1,G,7
L01-T1,leaf,L,P_01,T1,,Allen,495,21.5,10,11.5,P2-H2,P2,H,2
L02-T1,leaf,L,P_02,T1,,Allen,492,37.07,10,27.07,P2-D6,P2,D,6
L03-T1,leaf,L,P_03,T1,,Allen,505,32.96,10,22.96,P3-F2,P3,F,2
L04-T1,leaf,L,P_04,T1,,Allen,492,25.75,10,15.75,P2-H4,P2,H,4
L05-T1,leaf,L,P_05,T1,,Allen,495,30.09,10,20.09,P2-D10,P2,D,10
L06-T1,leaf,L,P_06,T1,,Allen,505,22.77,10,12.77,P3-D2,P3,D,2
L07-T1,leaf,L,P_07,T1,,Allen,505,23.73,10,13.73,P1-D12,P1,D,12
L08-T1,leaf,L,P_08,T1,,Allen,492,27.23,10,17.23,P2-G1,P2,G,1
L09-T1,leaf,L,P_09,T1,,Allen,495,25.07,10,15.07,P1-B3,P1,B,3
L10-T1,leaf,L,P_10,T1,,Allen,495,23.86,10,13.86,P3-A3,P3,A,3
L11-T1,leaf,L,P_11,T1,,Allen,505,23.36,10,13.36,P2-G7,P2,G,7
L12-T1,leaf,L,P_12,T1,,Allen,492,28.34,10,18.34,P2-F9,P2,F,9
L13-T1,leaf,L,P_13,T1,,Talon,492,20.72,10,10.72,P1-H2,P1,H,2
L14-T1,leaf,L,P_14,T1,,Talon,495,19.09,10,9.09,P2-E8,P2,E,8
L15-T1,leaf,L,P_15,T1,,Talon,505,12.62,10,2.62,P3-H2,P3,H,2
L16-T1,leaf,L,P_16,T1,,Talon,495,17.79,10,7.79,P1-E12,P1,E,12
L17-T1,leaf,L,P_17,T1,,Talon,492,24.06,10,14.06,P2-B4,P2,B,4
L18-T1,leaf,L,P_18,T1,,Talon,505,31.73,10,21.73,P1-A10,P1,A,10
L19-T1,leaf,L,P_19,T1,,Talon,505,33.37,10,23.37,P2-B11,P2,B,11
L20-T1,leaf,L,P_20,T1,,Talon,495,34.78,10,24.78,P1-C5,P1,C,5
L21-T1,leaf,L,P_21,T1,,Talon,492,47.42,10,37.42,P3-C2,P3,C,2
L22-T1,leaf,L,P_22,T1,,Talon,495,34.21,10,24.21,P1-E11,P1,E,11
L23-T1,leaf,L,P_23,T1,,Talon,505,31.09,10,21.09,P2-C9,P2,C,9
L24-T1,leaf,L,P_24,T1,,Talon,492,43.7,10,33.7,P1-B1,P1,B,1
D01-T2,debris,D,P_01,T2,,Allen,495,33.87,10,23.87,P1-C6,P1,C,6
D02-T2,debris,D,P_02,T2,,Allen,492,32.09,10,22.09,P3-B7,P3,B,7
D03-T2,debris,D,P_03,T2,,Allen,505,37.34,10,27.34,P1-E3,P1,E,3
D04-T2,debris,D,P_04,T2,,Allen,492,18.3,10,8.3,P2-C12,P2,C,12
D05-T2,debris,D,P_05,T2,,Allen,495,29.96,10,19.96,P2-E11,P2,E,11
D06-T2,debris,D,P_06,T2,,Allen,505,19.29,10,9.29,P3-E4,P3,E,4
D07-T2,debris,D,P_07,T2,,Allen,505,49.44,10,39.44,P2-C8,P2,C,8
D08-T2,debris,D,P_08,T2,,Allen,492,34.59,10,24.59,P2-H5,P2,H,5
D09-T2,debris,D,P_09,T2,,Allen,495,34.77,10,24.77,P1-A12,P1,A,12
D10-T2,debris,D,P_10,T2,,Allen,495,20.35,10,10.35,P2-D9,P2,D,9
D11-T2,debris,D,P_11,T2,,Allen,505,28.92,10,18.92,P3-H6,P3,H,6
D12-T2,debris,D,P_12,T2,,Allen,492,33.18,10,23.18,P2-E2,P2,E,2
