"D01-T1_T1"	"D02-T1_T1"	"D03-T1_T1"	"D04-T1_T1"	"D05-T1_T1"	"D06-T1_T1"	"D07-T1_T1"	"D08-T1_T1"	"D09-T1_T1"	"D10-T1_T1"	"D11-T1_T1"	"D12-T1_T1"	"D13-T1_T1"	"D14-T1_T1"	"D15-T1_T1"	"D16-T1_T1"	"D17-T1_T1"	"D18-T1_T1"	"D19-T1_T1"	"D20-T1_T1"	"D21-T1_T1"	"D22-T1_T1"	"D23-T1_T1"	"D24-T1_T1"	"Unknown"
"D01-T2_T2"	0.864683573695209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.135316426304791
"D02-T2_T2"	NA	0.921852425180599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0781475748194014
"D03-T2_T2"	NA	NA	0.834355369428657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.165644630571343
"D04-T2_T2"	NA	NA	NA	0.950772723754483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0492272762455171
"D05-T2_T2"	NA	NA	NA	NA	0.96762209437321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0323779056267898
"D06-T2_T2"	NA	NA	NA	NA	NA	0.948717948717949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0512820512820513
"D07-T2_T2"	NA	NA	NA	NA	NA	NA	0.952398409520318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0476015904796819
"D08-T2_T2"	NA	NA	NA	NA	NA	NA	NA	0.976033335197718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023966664802282
"D09-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	0.95420636679223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0457936332077702
"D10-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.816903588658703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.183096411341297
"D11-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.910568686138921	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0894313138610795
"D12-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.942681073780179	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.057318926219821
"D13-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.754603174603175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.245396825396825
"D14-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.635226129356828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.364773870643172
"D15-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.741460268317853	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.258539731682147
"D16-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.681156420340854	NA	NA	NA	NA	NA	NA	NA	NA	0.318843579659146
"D17-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.700420525786228	NA	NA	NA	NA	NA	NA	NA	0.299579474213772
"D18-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.761435463481334	NA	NA	NA	NA	NA	NA	0.238564536518666
"D19-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.606832314162603	NA	NA	NA	NA	NA	0.393167685837397
"D20-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.682344276094276	NA	NA	NA	NA	0.317655723905724
"D21-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.636527888908964	NA	NA	NA	0.363472111091036
"D22-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.760168725519735	NA	NA	0.239831274480265
"D23-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.756940144478844	NA	0.243059855521156
"D24-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.732592038389102	0.267407961610898
