"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Taxon","Term","Contrast","DiseaseStatus"
"ASV1",5035.21982707586,0.845792829167496,0.290661672172766,2.90988771531173,0.0036155862561136,0.0305934221671151,"ASV1","DiseaseStatus","Lo_Hi","both"
"ASV2",8095.10937660081,-2.90462113546249,0.520729505915883,-5.5779845437291,2.43321268854693e-08,2.67653395740162e-06,"ASV2","DiseaseStatus","Lo_Hi","both"
"ASV3",6089.48930043605,-0.0405937882499824,0.265881701042266,-0.152676126603874,0.878653688226593,0.920494340046907,"ASV3","DiseaseStatus","Lo_Hi","both"
"ASV4",5025.8412199171,0.114952760830936,0.332301276907721,0.345929338281952,0.729395819511329,0.835195981322383,"ASV4","DiseaseStatus","Lo_Hi","both"
"ASV5",4672.11094752901,0.272363903131688,0.301977702595846,0.901933820909313,0.367092023937273,0.640954327509524,"ASV5","DiseaseStatus","Lo_Hi","both"
"ASV6",3058.78184310523,1.01716117080514,0.496171066580495,2.05002113044438,0.0403623688619989,0.177594422992795,"ASV6","DiseaseStatus","Lo_Hi","both"
"ASV8",1947.15489339433,1.06705588597967,0.583780114255851,1.82783870146014,0.0675737629835537,0.265468354578247,"ASV8","DiseaseStatus","Lo_Hi","both"
"ASV9",1281.76533951679,0.291209227799192,0.455941752256791,0.638698312575638,0.523019210667756,0.710273002141397,"ASV9","DiseaseStatus","Lo_Hi","both"
"ASV10",2107.47753204637,0.991774733536462,0.422244798018592,2.3488145696298,0.0188332832993567,0.103583058146462,"ASV10","DiseaseStatus","Lo_Hi","both"
"ASV11",918.626531278844,1.34483537595768,0.34380788017615,3.91158973804978,9.16905743975905e-05,0.00168099386395583,"ASV11","DiseaseStatus","Lo_Hi","both"
"ASV12",42.172620454933,4.12934397082614,1.41087874516602,2.92678870170395,NA,NA,"ASV12","DiseaseStatus","Lo_Hi","both"
"ASV13",1113.66751260379,0.824974023184207,0.33893313629405,2.43403177453998,0.0149316842626517,0.0966167805230407,"ASV13","DiseaseStatus","Lo_Hi","both"
"ASV15",11.5578930693071,1.01622005185986,1.83901744056047,0.552588588583559,0.580545157759295,0.746118578583017,"ASV15","DiseaseStatus","Lo_Hi","both"
"ASV16",729.580217341418,0.591568706162388,0.875130383454503,0.675977794105628,0.499054743803938,0.710273002141397,"ASV16","DiseaseStatus","Lo_Hi","both"
"ASV17",464.458102522573,-0.347243945608145,0.674385348064636,-0.514904344533393,0.60661986481158,0.762701762547994,"ASV17","DiseaseStatus","Lo_Hi","both"
"ASV18",769.02462078208,0.333406919025959,0.488376182173389,0.682684641872213,0.49480613646041,0.710273002141397,"ASV18","DiseaseStatus","Lo_Hi","both"
"ASV20",141.622762785705,0.64010853785677,0.282396653583313,2.26670015290363,0.0234085490771504,0.12261620945174,"ASV20","DiseaseStatus","Lo_Hi","both"
"ASV21",57.4699561925541,1.62380235261796,0.672999300415109,2.41278460708116,0.0158311721101189,0.09674605178406,"ASV21","DiseaseStatus","Lo_Hi","both"
"ASV22",206.453911778717,0.20544052749177,0.284486891086618,0.722144091445042,0.470205892503631,0.708529427060266,"ASV22","DiseaseStatus","Lo_Hi","both"
"ASV23",704.385527501131,0.723946372466714,0.47462159355139,1.5253127592652,0.127181106814046,0.358715942296028,"ASV23","DiseaseStatus","Lo_Hi","both"
"ASV25",5.59204241546955,1.42615302388774,1.06676472656605,1.33689555754113,0.18125673113771,0.42421788138613,"ASV25","DiseaseStatus","Lo_Hi","both"
"ASV27",634.897508578254,5.37495407854728,1.42142755870205,3.78137742274769,0.000155963011519288,0.00245084732387453,"ASV27","DiseaseStatus","Lo_Hi","both"
"ASV28",67.6936083561965,-0.312190593099633,1.03013180459163,-0.303058882084894,NA,NA,"ASV28","DiseaseStatus","Lo_Hi","both"
"ASV29",28.7263990451347,2.75971846334098,0.871515582977395,3.16657385965818,0.00154246169954734,0.0154246169954734,"ASV29","DiseaseStatus","Lo_Hi","both"
"ASV30",99.4579539969667,0.442978512174229,0.884714614483138,0.500702152900484,0.616580756889132,0.762701762547994,"ASV30","DiseaseStatus","Lo_Hi","both"
"ASV31",582.74516419375,1.42522624398829,0.489509550561003,2.91153919745775,0.00359652778810055,0.0305934221671151,"ASV31","DiseaseStatus","Lo_Hi","both"
"ASV33",461.712860830102,0.185904556591043,0.569472784456088,0.326450291682689,0.74408369245085,0.835195981322383,"ASV33","DiseaseStatus","Lo_Hi","both"
"ASV36",450.073137224853,1.27710053470934,0.574497631115765,2.22298659827197,0.0262167036733319,0.128559674615188,"ASV36","DiseaseStatus","Lo_Hi","both"
"ASV38",301.476088026803,0.201861437056832,0.539324647279941,0.374285577480856,NA,NA,"ASV38","DiseaseStatus","Lo_Hi","both"
