"L01-T1_T1"	"L02-T1_T1"	"L05-T1_T1"	"L08-T1_T1"	"L10-T1_T1"	"L11-T1_T1"	"L12-T1_T1"	"L13-T1_T1"	"L14-T1_T1"	"L16-T1_T1"	"L18-T1_T1"	"L19-T1_T1"	"L20-T1_T1"	"L21-T1_T1"	"L23-T1_T1"	"L24-T1_T1"	"Unknown"
"L01-T2_T2"	0.528779739063699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.471220260936301
"L02-T2_T2"	NA	0.471220260936301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.528779739063699
"L05-T2_T2"	NA	NA	0.00920951650038373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.990790483499616
"L08-T2_T2"	NA	NA	NA	0.0276285495011512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.972371450498849
"L10-T2_T2"	NA	NA	NA	NA	0.417498081350729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.582501918649271
"L11-T2_T2"	NA	NA	NA	NA	NA	0.00614439324116744	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.993855606758833
"L12-T2_T2"	NA	NA	NA	NA	NA	NA	0.555640828856485	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.444359171143515
"L13-T2_T2"	NA	NA	NA	NA	NA	NA	NA	0.489291598023064	NA	NA	NA	NA	NA	NA	NA	NA	0.510708401976936
"L14-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	0.805832693783576	NA	NA	NA	NA	NA	NA	NA	0.194167306216424
"L16-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0759785111281658	NA	NA	NA	NA	NA	NA	0.924021488871834
"L18-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0368380660015349	NA	NA	NA	NA	NA	0.963161933998465
"L19-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.749040675364543	NA	NA	NA	NA	0.250959324635457
"L20-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.501390176088971	NA	NA	NA	0.498609823911029
"L21-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.797390636991558	NA	NA	0.202609363008442
"L23-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0706062931696086	NA	0.929393706830391
"L24-T2_T2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1
