"D01-T1_debris"	"D02-T1_debris"	"D04-T1_debris"	"D05-T1_debris"	"D07-T1_debris"	"D08-T1_debris"	"D09-T1_debris"	"D10-T1_debris"	"D11-T1_debris"	"D12-T1_debris"	"D13-T1_debris"	"D14-T1_debris"	"D16-T1_debris"	"D18-T1_debris"	"D19-T1_debris"	"D20-T1_debris"	"D21-T1_debris"	"D22-T1_debris"	"D23-T1_debris"	"D24-T1_debris"	"Unknown"
"L01-T1_leaf"	0.853297442799462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.146702557200538
"L02-T1_leaf"	NA	0.78968412634946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21031587365054
"L04-T1_leaf"	NA	NA	0.930551816958277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0694481830417227
"L05-T1_leaf"	NA	NA	NA	0.863795423956931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.136204576043069
"L07-T1_leaf"	NA	NA	NA	NA	0.764199192462988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.235800807537012
"L08-T1_leaf"	NA	NA	NA	NA	NA	0.948317631224765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0516823687752355
"L09-T1_leaf"	NA	NA	NA	NA	NA	NA	0.772934827729348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.227065172270652
"L10-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	0.887483176312248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.112516823687752
"L11-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	0.715477792732167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.284522207267833
"L12-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.608613728129206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.391386271870794
"L13-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.735935397039031	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.264064602960969
"L14-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.796769851951548	NA	NA	NA	NA	NA	NA	NA	NA	0.203230148048452
"L16-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86971736204576	NA	NA	NA	NA	NA	NA	NA	0.13028263795424
"L18-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0908096280087527	NA	NA	NA	NA	NA	NA	0.909190371991247
"L19-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.66408345752608	NA	NA	NA	NA	NA	0.335916542473919
"L20-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.434279096699479	NA	NA	NA	NA	0.565720903300521
"L21-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.257065948855989	NA	NA	NA	0.742934051144011
"L22-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.490298507462687	NA	NA	0.509701492537313
"L23-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.60349932705249	NA	0.39650067294751
"L24-T1_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.964468371467026	0.0355316285329744
