"L01-T2_T2"	"L02-T2_T2"	"L03-T2_T2"	"L05-T2_T2"	"L08-T2_T2"	"L10-T2_T2"	"L11-T2_T2"	"L13-T2_T2"	"L14-T2_T2"	"L15-T2_T2"	"L16-T2_T2"	"L17-T2_T2"	"L18-T2_T2"	"L19-T2_T2"	"L20-T2_T2"	"L21-T2_T2"	"L23-T2_T2"	"L24-T2_T2"	"Unknown"
"L01-T3_T3"	0.265402843601896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.734597156398104
"L02-T3_T3"	NA	0.183254344391785	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.816745655608215
"L03-T3_T3"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"L05-T3_T3"	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"L08-T3_T3"	NA	NA	NA	NA	0.0252764612954186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.974723538704581
"L10-T3_T3"	NA	NA	NA	NA	NA	0.0932069510268562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.906793048973144
"L11-T3_T3"	NA	NA	NA	NA	NA	NA	0.123222748815166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.876777251184834
"L13-T3_T3"	NA	NA	NA	NA	NA	NA	NA	0.0884676145339652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.911532385466035
"L14-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	0.93522906793049	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0647709320695103
"L15-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.813586097946288	NA	NA	NA	NA	NA	NA	NA	NA	0.186413902053712
"L16-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.848341232227488	NA	NA	NA	NA	NA	NA	NA	0.151658767772512
"L17-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.815165876777251	NA	NA	NA	NA	NA	NA	0.184834123222749
"L18-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.731437598736177	NA	NA	NA	NA	NA	0.268562401263823
"L19-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014218009478673	NA	NA	NA	NA	0.985781990521327
"L20-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.565560821484992	NA	NA	NA	0.434439178515008
"L21-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.868670886075949	NA	NA	0.131329113924051
"L23-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.990521327014218	NA	0.00947867298578199
"L24-T3_T3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.677725118483412	0.322274881516588
