"D01-T2_debris"	"D02-T2_debris"	"D03-T2_debris"	"D05-T2_debris"	"D08-T2_debris"	"D10-T2_debris"	"D11-T2_debris"	"D12-T2_debris"	"D13-T2_debris"	"D14-T2_debris"	"D15-T2_debris"	"D16-T2_debris"	"D17-T2_debris"	"D18-T2_debris"	"D19-T2_debris"	"D20-T2_debris"	"D21-T2_debris"	"D23-T2_debris"	"D24-T2_debris"	"Unknown"
"L01-T2_leaf"	0.671527244819647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.328472755180353
"L02-T2_leaf"	NA	0.69071373752878	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.30928626247122
"L03-T2_leaf"	NA	NA	0.116521739130435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.883478260869565
"L05-T2_leaf"	NA	NA	NA	0.00614911606456572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.993850883935434
"L08-T2_leaf"	NA	NA	NA	NA	0.306216423637759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.693783576362241
"L10-T2_leaf"	NA	NA	NA	NA	NA	0.417498081350729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.582501918649271
"L11-T2_leaf"	NA	NA	NA	NA	NA	NA	0.00153727901614143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.998462720983858
"L12-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	0.549501151189563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.450498848810437
"L13-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	0.0939044481054366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.906095551894563
"L14-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"L15-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00153491941673062	NA	NA	NA	NA	NA	NA	NA	NA	0.998465080583269
"L16-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0491174213353799	NA	NA	NA	NA	NA	NA	NA	0.95088257866462
"L17-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	1
"L18-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	1
"L19-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.735993860322333	NA	NA	NA	NA	0.264006139677667
"L20-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025949953660797	NA	NA	NA	0.974050046339203
"L21-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.034535686876439	NA	NA	0.965464313123561
"L23-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0951650038372985	NA	0.904834996162702
"L24-T2_leaf"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0824261275272162	0.917573872472784
