"H01-T3_T3"	"H02-T3_T3"	"H03-T3_T3"	"H04-T3_T3"	"H05-T3_T3"	"H06-T3_T3"	"H07-T3_T3"	"H08-T3_T3"	"H09-T3_T3"	"H10-T3_T3"	"H11-T3_T3"	"H12-T3_T3"	"H13-T3_T3"	"H14-T3_T3"	"H15-T3_T3"	"H16-T3_T3"	"H17-T3_T3"	"H18-T3_T3"	"H19-T3_T3"	"H20-T3_T3"	"H21-T3_T3"	"H22-T3_T3"	"H23-T3_T3"	"H24-T3_T3"	"Unknown"
"H01-T4_T4"	0.763499540441176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.236500459558824
"H02-T4_T4"	NA	0.675494025735294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.324505974264706
"H03-T4_T4"	NA	NA	0.592564729484045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.407435270515955
"H04-T4_T4"	NA	NA	NA	0.849086941541289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.150913058458711
"H05-T4_T4"	NA	NA	NA	NA	0.777822441713564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.222177558286436
"H06-T4_T4"	NA	NA	NA	NA	NA	0.81962788560928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18037211439072
"H07-T4_T4"	NA	NA	NA	NA	NA	NA	0.724485054979093	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.275514945020907
"H08-T4_T4"	NA	NA	NA	NA	NA	NA	NA	0.800873011314686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.199126988685314
"H09-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	0.89657746640634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10342253359366
"H10-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.817199977020739	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.182800022979261
"H11-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.845998655010088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.154001344989913
"H12-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.940730530668504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0592694693314955
"H13-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.881223005228461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.118776994771539
"H14-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.838320601918328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.161679398081672
"H15-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.86632004621606	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13367995378394
"H16-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.600838405880326	NA	NA	NA	NA	NA	NA	NA	NA	0.399161594119674
"H17-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.826116917422763	NA	NA	NA	NA	NA	NA	NA	0.173883082577237
"H18-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.800724905688291	NA	NA	NA	NA	NA	NA	0.199275094311709
"H19-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.858447226369588	NA	NA	NA	NA	NA	0.141552773630412
"H20-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.862955308705761	NA	NA	NA	NA	0.137044691294239
"H21-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.464511312736878	NA	NA	NA	0.535488687263122
"H22-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.891524061100264	NA	NA	0.108475938899736
"H23-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.822326203208556	NA	0.177673796791444
"H24-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.604754098360656	0.395245901639344
