"L01-T3_T3"	"L02-T3_T3"	"L05-T3_T3"	"L07-T3_T3"	"L08-T3_T3"	"L10-T3_T3"	"L14-T3_T3"	"L15-T3_T3"	"L16-T3_T3"	"L17-T3_T3"	"L18-T3_T3"	"L21-T3_T3"	"L23-T3_T3"	"L24-T3_T3"	"Unknown"
"L01-T4_T4"	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"L02-T4_T4"	NA	0.113522537562604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.886477462437396
"L05-T4_T4"	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
"L07-T4_T4"	NA	NA	NA	0.449081803005008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.550918196994992
"L08-T4_T4"	NA	NA	NA	NA	0.228714524207012	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.771285475792988
"L10-T4_T4"	NA	NA	NA	NA	NA	0.00166944908180301	NA	NA	NA	NA	NA	NA	NA	NA	0.998330550918197
"L14-T4_T4"	NA	NA	NA	NA	NA	NA	0.595993322203673	NA	NA	NA	NA	NA	NA	NA	0.404006677796327
"L15-T4_T4"	NA	NA	NA	NA	NA	NA	NA	0.500834724540901	NA	NA	NA	NA	NA	NA	0.499165275459099
"L16-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	1
"L17-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.814691151919867	NA	NA	NA	NA	0.185308848080134
"L18-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.155258764607679	NA	NA	NA	0.844741235392321
"L21-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.400667779632721	NA	NA	0.599332220367279
"L23-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.215358931552588	NA	0.784641068447412
"L24-T4_T4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.524809160305344	0.475190839694656
