"L01-T3_leaf"	"L02-T3_leaf"	"L03-T3_leaf"	"L05-T3_leaf"	"L06-T3_leaf"	"L07-T3_leaf"	"L08-T3_leaf"	"L10-T3_leaf"	"L11-T3_leaf"	"L13-T3_leaf"	"L14-T3_leaf"	"L15-T3_leaf"	"L16-T3_leaf"	"L17-T3_leaf"	"L18-T3_leaf"	"L19-T3_leaf"	"L20-T3_leaf"	"L21-T3_leaf"	"L22-T3_leaf"	"L23-T3_leaf"	"L24-T3_leaf"	"Unknown"
"H01-T3_head"	0.120385232744783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.879614767255217
"H02-T3_head"	NA	0.107544141252006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.892455858747994
"H03-T3_head"	NA	NA	0.0789889415481832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.921011058451817
"H05-T3_head"	NA	NA	NA	0.0387722132471728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.961227786752827
"H06-T3_head"	NA	NA	NA	NA	0.1312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8688
"H07-T3_head"	NA	NA	NA	NA	NA	0.00634920634920635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.993650793650794
"H08-T3_head"	NA	NA	NA	NA	NA	NA	0.323671497584541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.676328502415459
"H10-T3_head"	NA	NA	NA	NA	NA	NA	NA	0.0601626016260162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.939837398373984
"H11-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	0.0714285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.928571428571429
"H13-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8464
"H14-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00648298217179901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.993517017828201
"H15-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0423452768729641	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.957654723127036
"H16-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19611021069692	NA	NA	NA	NA	NA	NA	NA	NA	0.80388978930308
"H17-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.170692431561997	NA	NA	NA	NA	NA	NA	NA	0.829307568438003
"H18-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0321027287319422	NA	NA	NA	NA	NA	NA	0.967897271268058
"H19-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.243156199677938	NA	NA	NA	NA	NA	0.756843800322062
"H20-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0434083601286173	NA	NA	NA	NA	0.956591639871383
"H21-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0576923076923076	NA	NA	NA	0.942307692307692
"H22-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0181818181818181	NA	NA	0.981818181818182
"H23-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0420032310177706	NA	0.957996768982229
"H24-T3_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.163097199341021	0.836902800658979
