"H01-T4_T4"	"H02-T4_T4"	"H03-T4_T4"	"H04-T4_T4"	"H05-T4_T4"	"H06-T4_T4"	"H07-T4_T4"	"H08-T4_T4"	"H09-T4_T4"	"H10-T4_T4"	"H11-T4_T4"	"H12-T4_T4"	"H13-T4_T4"	"H14-T4_T4"	"H15-T4_T4"	"H16-T4_T4"	"H17-T4_T4"	"H18-T4_T4"	"H19-T4_T4"	"H20-T4_T4"	"H21-T4_T4"	"H22-T4_T4"	"H23-T4_T4"	"H24-T4_T4"	"Unknown"
"H01-T5-HI_T5"	0.903429355281207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0965706447187928
"H02-T5-HI_T5"	NA	0.952968938645593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0470310613544068
"H03-T5-HI_T5"	NA	NA	0.965210711150132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0347892888498683
"H04-T5-HI_T5"	NA	NA	NA	0.941234567901235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0587654320987655
"H05-T5-HI_T5"	NA	NA	NA	NA	0.962890465704266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0371095342957344
"H06-T5-HI_T5"	NA	NA	NA	NA	NA	0.85283785267318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14716214732682
"H07-T5-HI_T5"	NA	NA	NA	NA	NA	NA	0.848880597014925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.151119402985075
"H08-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	0.885102880658436	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.114897119341564
"H09-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	0.965978928884987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0340210711150132
"H10-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.965871056241427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0341289437585734
"H11-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.940682616330114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0593173836698859
"H12-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.918079561042524	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.081920438957476
"H13-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.844081005433291	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.155918994566709
"H14-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.957297326966354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0427026730336462
"H15-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.830333625987708	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.169666374012291
"H16-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.937939898402595	NA	NA	NA	NA	NA	NA	NA	NA	0.062060101597405
"H17-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.85842165961887	NA	NA	NA	NA	NA	NA	NA	0.14157834038113
"H18-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.904252400548697	NA	NA	NA	NA	NA	NA	0.0957475994513032
"H19-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.862097349503375	NA	NA	NA	NA	NA	0.137902650496625
"H20-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.900084435688151	NA	NA	NA	NA	0.0999155643118492
"H21-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.923178226514486	NA	NA	NA	0.0768217734855136
"H22-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.942548287971905	NA	NA	0.0574517120280948
"H23-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.934782608695652	NA	0.0652173913043478
"H24-T5-HI_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.926940388626633	0.073059611373367
