"H01-T4_T4"	"H02-T4_T4"	"H03-T4_T4"	"H04-T4_T4"	"H05-T4_T4"	"H06-T4_T4"	"H07-T4_T4"	"H08-T4_T4"	"H09-T4_T4"	"H10-T4_T4"	"H11-T4_T4"	"H12-T4_T4"	"H13-T4_T4"	"H14-T4_T4"	"H15-T4_T4"	"H16-T4_T4"	"H17-T4_T4"	"H18-T4_T4"	"H19-T4_T4"	"H20-T4_T4"	"H21-T4_T4"	"H22-T4_T4"	"H23-T4_T4"	"H24-T4_T4"	"Unknown"
"H01-T5-LO_T5"	0.901411117533335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0985888824666653
"H02-T5-LO_T5"	NA	0.876331389464553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.123668610535447
"H03-T5-LO_T5"	NA	NA	0.914228135474717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0857718645252833
"H04-T5-LO_T5"	NA	NA	NA	0.896978514768605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.103021485231395
"H05-T5-LO_T5"	NA	NA	NA	NA	0.882855233522263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.117144766477737
"H06-T5-LO_T5"	NA	NA	NA	NA	NA	0.79048951048951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20951048951049
"H07-T5-LO_T5"	NA	NA	NA	NA	NA	NA	0.864686468646865	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.135313531353135
"H08-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	0.902992734919227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0970072650807729
"H09-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	0.934677514444051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0653224855559486
"H10-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.915719083543446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0842809164565541
"H11-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.829058583503352	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.170941416496648
"H12-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.800868885619713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.199131114380287
"H13-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.794567827130852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.205432172869148
"H14-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.841608244686733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.158391755313267
"H15-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.714281880275358	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.285718119724641
"H16-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.853697655429838	NA	NA	NA	NA	NA	NA	NA	NA	0.146302344570162
"H17-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.823717606910526	NA	NA	NA	NA	NA	NA	NA	0.176282393089474
"H18-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.787485300859028	NA	NA	NA	NA	NA	NA	0.212514699140972
"H19-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.830264237121858	NA	NA	NA	NA	NA	0.169735762878142
"H20-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.834331556131347	NA	NA	NA	NA	0.165668443868653
"H21-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.965062111801242	NA	NA	NA	0.0349378881987578
"H22-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.900672591880855	NA	NA	0.0993274081191448
"H23-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.686765078026149	NA	0.313234921973851
"H24-T5-LO_T5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.850520076054133	0.149479923945867
