"L01-T4_leaf"	"L02-T4_leaf"	"L05-T4_leaf"	"L07-T4_leaf"	"L08-T4_leaf"	"L10-T4_leaf"	"L12-T4_leaf"	"L14-T4_leaf"	"L15-T4_leaf"	"L16-T4_leaf"	"L17-T4_leaf"	"L18-T4_leaf"	"L21-T4_leaf"	"L23-T4_leaf"	"L24-T4_leaf"	"Unknown"
"H01-T4_head"	0.133898305084746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.866101694915254
"H02-T4_head"	NA	0.246179966044143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.753820033955857
"H05-T4_head"	NA	NA	0.251264755480607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.748735244519393
"H07-T4_head"	NA	NA	NA	0.107202680067002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.892797319932998
"H08-T4_head"	NA	NA	NA	NA	0.271646859083192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.728353140916808
"H10-T4_head"	NA	NA	NA	NA	NA	0.48458904109589	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.51541095890411
"H12-T4_head"	NA	NA	NA	NA	NA	NA	0.58445945945946	NA	NA	NA	NA	NA	NA	NA	NA	0.41554054054054
"H14-T4_head"	NA	NA	NA	NA	NA	NA	NA	0.0273972602739726	NA	NA	NA	NA	NA	NA	NA	0.972602739726027
"H15-T4_head"	NA	NA	NA	NA	NA	NA	NA	NA	0.0611205432937182	NA	NA	NA	NA	NA	NA	0.938879456706282
"H16-T4_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0241379310344828	NA	NA	NA	NA	NA	0.975862068965517
"H17-T4_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.138983050847458	NA	NA	NA	NA	0.861016949152542
"H18-T4_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0360205831903945	NA	NA	NA	0.963979416809606
"H21-T4_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.569256756756757	NA	NA	0.430743243243243
"H23-T4_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0119047619047619	NA	0.988095238095238
"H24-T4_head"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0252951096121417	0.974704890387858
