"","uniq.Subject","QueryID","n","mean.Perc.Ident","sd.Perc.Ident","uniq.Subject.Type","genus"
"1","MT078166.1","ASV322",1,100,NA,"Plant","Algae"
"2","MT078166.1","ASV257",1,86.431,NA,"Plant","Algae"
"3","MT078166.1","ASV1128",1,86.726,NA,"Plant","Algae"
"4","MT078166.1","ASV1440",1,99.691,NA,"Plant","Algae"
"5","MT078166.1","ASV943",1,86.136,NA,"Plant","Algae"
"6","MT078166.1","ASV517",1,96.914,NA,"Plant","Algae"
"7","MH252698.1","ASV1144",1,99.038,NA,"Plant","Elymus"
"8","MH252698.1","ASV944",1,98.718,NA,"Plant","Elymus"
"9","MH252698.1","ASV862",1,96.154,NA,"Plant","Elymus"
"10","MH252698.1","ASV1677",1,96.474,NA,"Plant","Elymus"
"11","MH252698.1","ASV2779",1,94.872,NA,"Plant","Elymus"
"12","MH252698.1","ASV395",1,95.192,NA,"Plant","Elymus"
"13","MH252698.1","ASV773",1,96.795,NA,"Plant","Elymus"
"14","OM729990.1","ASV563",1,99.43,NA,"Plant","Algae"
"15","OM729990.1","ASV2741",1,76.86,NA,"Plant","Algae"
"16","OM729990.1","ASV654",1,97.436,NA,"Plant","Algae"
"17","OM729990.1","ASV482",1,95.157,NA,"Plant","Algae"
"18","OM729990.1","ASV1297",1,83.099,NA,"Plant","Algae"
"19","OM729990.1","ASV2163",1,97.015,NA,"Plant","Algae"
"20","OM729990.1","ASV318",1,99.715,NA,"Plant","Algae"
"21","OM729990.1","ASV1874",1,99.145,NA,"Plant","Algae"
"22","OM729990.1","ASV709",1,99.145,NA,"Plant","Algae"
"23","OM729990.1","ASV775",1,100,NA,"Plant","Algae"
"24","KC589715.1","ASV215",1,100,NA,"Plant","Triticum"
"25","KC589715.1","ASV2642",1,100,NA,"Plant","Triticum"
"26","KC589715.1","ASV1304",1,100,NA,"Plant","Triticum"
"27","KM116465.1","ASV445",1,100,NA,"Plant","Algae"
"28","KM116465.1","ASV1396",1,85.757,NA,"Plant","Algae"
"29","KM116465.1","ASV1333",1,97.161,NA,"Plant","Algae"
"30","KY873618.1","ASV345",1,100,NA,"Plant","Algae"
"31","KY873618.1","ASV1420",1,100,NA,"Plant","Algae"
"32","KY873618.1","ASV2165",1,100,NA,"Plant","Algae"
"33","KY873618.1","ASV1774",1,94.366,NA,"Plant","Algae"
"34","MF034636.1","ASV2553",1,88.76,NA,"Plant","Algae"
"35","MF034636.1","ASV2873",1,83.784,NA,"Plant","Algae"
"36","MF034636.1","ASV836",1,94.094,NA,"Plant","Algae"
"37","MF034636.1","ASV1442",1,85.878,NA,"Plant","Algae"
"38","MF034636.1","ASV1699",1,93.701,NA,"Plant","Algae"
"39","MF034636.1","ASV2612",1,88.372,NA,"Plant","Algae"
"40","MF034636.1","ASV319",1,94.902,NA,"Plant","Algae"
"41","KF482081.1","ASV796",1,99.679,NA,"Plant","Aegilops"
"42","KF482081.1","ASV439",1,100,NA,"Plant","Aegilops"
"43","KF482081.1","ASV1870",1,99.359,NA,"Plant","Aegilops"
"44","KF482081.1","ASV2233",1,99.679,NA,"Plant","Aegilops"
"45","KF482081.1","ASV1599",1,99.679,NA,"Plant","Aegilops"
"46","KF482081.1","ASV404",1,93.59,NA,"Plant","Aegilops"
"47","MT137382.1","ASV756",1,100,NA,"Plant","Algae"
"48","MT137382.1","ASV388",1,99.705,NA,"Plant","Algae"
"49","MT137382.1","ASV2164",1,94.493,NA,"Plant","Algae"
"50","OQ883695.1","ASV268",1,99.679,NA,"Plant","Triticum"
"51","MF480405.1","ASV329",1,100,NA,"Plant","Triticum"
