,names,length,ToRemove,Fungi,FungalName,Other,Plant,ChimeraNoResult
1,ASV232,302,yes,,,,Triticum,
2,ASV352,356,yes,,,Algae,,
3,ASV356,312,yes,,,Algae,,
4,ASV363,272,yes,,,Algae,,
5,ASV366,327,,yes,Basidiomycota;Agaricomycotina;Agaricomycetes;Cantharellales;Tulasnaellaceae,,,
6,ASV385,109,yes,,,,Triticum,
7,ASV394,272,yes,,,Algae,,
8,ASV478,320,yes,,,,Triticum,
9,ASV484,117,yes,,,,Triticum,
10,ASV485,320,yes,,,,Triticum,
11,ASV520,286,,yes,Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostilbales,,,
12,ASV533,330,yes,,,,,no hits
13,ASV536,191,yes,,,slimeMold,,
14,ASV553,272,yes,,,Algae,,
15,ASV557,210,yes,,,,Triticum,chimera
16,ASV587,87,yes,,,,Triticum,
17,ASV590,328,yes,,,Algae,,
18,ASV624,85,yes,,,,Triticum,
19,ASV633,324,yes,,,Algae,,
20,ASV662,321,yes,,,,Triticum,
21,ASV680,398,yes,,,,,no hits
22,ASV690,312,yes,,,,Triticum,
23,ASV708,272,yes,,,Algae,,
24,ASV712,109,yes,,,,Triticum,
25,ASV731,459,yes,,,,Triticum,chimera
26,ASV747,355,yes,,,Algae,,
27,ASV762,414,yes,,,,Triticum,
28,ASV771,315,,yes,Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Stephanosporaceae,,,
29,ASV784,180,yes,,,,Triticum,
30,ASV794,79,yes,,,,,no hits
31,ASV803,459,yes,,,,Triticum,
32,ASV810,92,yes,,,,Triticum,
33,ASV811,327,yes,,,,,chimera
34,ASV820,109,yes,,,,Triticum,
35,ASV833,163,yes,,,,Triticum,
36,ASV838,237,,yes,Ascomycota;Pezizomycotina;Dothideomycetes,,,
37,ASV849,545,yes,,,,Triticum,
38,ASV854,117,yes,,,,Triticum,
39,ASV865,109,yes,,,,Triticum,
40,ASV903,288,yes,,,,,no hits
41,ASV908,384,yes,,,,Triticum,
42,ASV922,307,,yes,Basidiomycota;Pucciniomycotina;Cystobasidiomycetes,,,
43,ASV929,240,,yes,Ascomycota;Pezizomycotina;Dothidiomycetes,,,
44,ASV930,109,yes,,,,Triticum,
45,ASV933,117,yes,,,,Triticum,
46,ASV934,119,yes,,,,Triticum,
47,ASV975,317,,yes,Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricales;Stephanosporaceae,,,
48,ASV1017,566,yes,,,,Triticum,
49,ASV1018,311,yes,,,,Triticum,
50,ASV1024,237,,yes,Ascomycota;Pezizomycotina;Dothideomycetes,,,
51,ASV1025,69,yes,,,,,no hits
52,ASV1041,320,yes,,,,Triticum,
53,ASV1051,145,yes,,,,,chimera
54,ASV1052,314,yes,,,Algae,,
55,ASV1082,471,yes,,,,Triticum,
56,ASV1086,75,yes,,,,Triticum,
57,ASV1097,244,yes,,,,Triticum,
58,ASV1103,90,yes,,,,Triticum,
59,ASV1108,237,,yes,Ascomycota;Pezizomycotina;Dothideomycetes,,,
60,ASV1111,52,yes,,,,Triticum,
61,ASV1112,158,yes,,,,,no hits
62,ASV1113,321,yes,,,,Triticum,
63,ASV1119,124,yes,,,,Triticum,
64,ASV1121,272,yes,,,Algae,,
65,ASV1125,85,yes,,,,Triticum,
66,ASV1139,311,yes,,,,Triticum,
67,ASV1151,103,yes,,,,Triticum,
68,ASV1184,311,yes,,,,Triticum,
69,ASV1201,248,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Phaeosphaeriaceae,,,
70,ASV1202,289,,yes,Ascomycota;Taphrinomycotina;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina,,,
71,ASV1230,272,yes,,,Algae,,
72,ASV1236,253,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales;Pleosporaceae;Alternaria,,,
73,ASV1250,317,yes,,,,Triticum,
74,ASV1251,272,yes,,,,Triticum,
75,ASV1254,109,yes,,,,Triticum,
76,ASV1273,89,yes,,,,Triticum,
77,ASV1325,249,,yes,Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales,,,
78,ASV1330,117,yes,,,,Triticum,
79,ASV1331,367,yes,,,,Triticum,
80,ASV1354,290,yes,,,,Triticum,
81,ASV1355,330,yes,,,,,no hits
82,ASV1356,353,yes,,,,Triticum,
83,ASV1392,393,yes,,,,,chimera
84,ASV1393,210,yes,,,,Triticum,chimera
85,ASV1398,223,yes,,,,Triticum,
86,ASV1403,182,yes,,,,Triticum,
87,ASV1404,343,yes,,,,Triticum,chimera
88,ASV1438,457,yes,,,,Triticum,
89,ASV1453,117,yes,,,,Triticum,
90,ASV1454,516,yes,,,,Triticum,chimera
91,ASV1456,372,yes,,,Algae,,
92,ASV1477,307,,yes,Basidiomycota,,,
93,ASV1484,88,yes,,,,Triticum,
94,ASV1486,74,yes,,,,,no hits
95,ASV1497,175,yes,,,,Triticum,chimera
96,ASV1526,84,yes,,,,Triticum,
97,ASV1527,312,yes,,,,Triticum,
98,ASV1538,314,yes,,,Algae,,
99,ASV1540,246,,yes,Ascomycota,,,
100,ASV1544,310,yes,,,,Triticum,
101,ASV1567,84,yes,,,,Triticum,
102,ASV1568,321,yes,,,,Triticum,
103,ASV1570,251,yes,,,,,chimera
104,ASV1577,272,yes,,,Algae,,
105,ASV1579,182,yes,,,,Triticum,
106,ASV1598,334,yes,,,,Triticum,
107,ASV1600,457,yes,,,,Triticum,chimera
108,ASV1602,327,yes,,,Algae,,chimera
109,ASV1613,297,,yes,Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostilbales;Kondoaceae;Kondoa,,,
110,ASV1619,161,yes,,,,Triticum,chimera
111,ASV1635,334,yes,,,,Triticum,
112,ASV1636,311,yes,,,,Triticum,chimera
113,ASV1661,223,yes,,,,Triticum,
114,ASV1662,84,yes,,,,Triticum,
115,ASV1663,137,yes,,,,Triticum,chimera
116,ASV1664,328,yes,,,Algae,,
117,ASV1673,313,yes,,,Algae,,
118,ASV1676,378,yes,,,,,chimera
119,ASV1679,291,yes,,,,Triticum,chimera
120,ASV1689,237,,yes,Ascomycota;Pezizomycotina,,,
121,ASV1697,182,yes,,,,Triticum,
122,ASV1704,334,yes,,,Algae,,
123,ASV1727,73,yes,,,,Triticum,
124,ASV1756,362,yes,,,Algae,,chimera
125,ASV1765,237,,yes,Ascomycota;Pezizomycotina,,,
126,ASV1766,84,yes,,,,Triticum,
127,ASV1767,328,yes,,,Algae,,
128,ASV1768,86,yes,,,,Triticum,
129,ASV1777,369,yes,,,,Triticum,
130,ASV1789,195,yes,,,,Triticum,
131,ASV1790,286,,yes,Basidiomycota;Pucciniomycotina;Agaricostilbomycetes;Agaricostibales,,,
132,ASV1793,143,yes,,,,,chimera
133,ASV1795,315,yes,,,,,chimera
134,ASV1809,346,yes,,,,Triticum,chimera
135,ASV1814,389,yes,,,,Triticum,
136,ASV1818,314,yes,,,Algae,,
137,ASV1853,348,yes,,,,,chimera
138,ASV1868,85,yes,,,,Triticum,
139,ASV1881,80,yes,,,,Triticum,
140,ASV1902,153,yes,,,,Triticum,
141,ASV1903,391,yes,,,,Triticum,chimera
142,ASV1915,122,yes,,,,Triticum,
143,ASV1929,180,yes,,,,Triticum,
144,ASV1930,348,yes,,,,,no hits
145,ASV1934,320,yes,,,Algae,,
146,ASV1935,501,yes,,,Algae,,chimera
147,ASV1942,181,yes,,,,Triticum,
148,ASV1951,318,yes,,,Algae,,
149,ASV1954,147,yes,,,,,no hits
150,ASV1977,252,,yes,Ascomycota,,,
151,ASV1988,237,,yes,Ascomycota;Pezizomycotina,,,
