"","QueryID","n","mean.Perc.Ident","sd.Perc.Ident","uniq.Subject","uniq.Subject.Type"
"1","ASV1",1,100,NA,"Cladosporium_flabelliforme|HM148092|SH2320220.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_flabelliforme","Fungi"
"2","ASV10",1,100,NA,"Papiliotrema_frias|FM178254|SH1650816.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_frias","Fungi"
"3","ASV100",1,100,NA,"Cercospora_sojina|JX143659|SH1975056.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora;s__Cercospora_sojina","Fungi"
"4","ASV1000",1,95.631,NA,"Phaeosphaeria_sp|MF683451|SH1646367.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_sp","Fungi"
"5","ASV1001",1,99.669,NA,"Fungi_sp|JX042723|SH1648572.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","Fungi"
"6","ASV1002",1,100,NA,"Stagonospora_foliicola|KF251256|SH1525153.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Stagonospora;s__Stagonospora_foliicola","Fungi"
"7","ASV1003",1,98.661,NA,"Ascomycota_sp|JN650519|SH1557301.08FU|reps|k__Fungi;p__Ascomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Ascomycota_sp","Fungi"
"8","ASV1004",1,100,NA,"Bipolaris_cynodontis|JX256412|SH1890301.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__Bipolaris_cynodontis","Fungi"
"9","ASV1005",1,100,NA,"Mycosphaerella_latebrosa|UDB0294537|SH1576175.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Mycosphaerella;s__Mycosphaerella_latebrosa","Fungi"
"10","ASV1006",1,100,NA,"Alternaria_multirostrata|KJ718195|SH1890300.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_multirostrata","Fungi"
"11","ASV1007",1,86.972,NA,"Limonomyces_sp|UDB0316570|SH2734136.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Corticiales;f__Corticiaceae;g__Limonomyces;s__Limonomyces_sp","Fungi"
"12","ASV1008",1,99.048,NA,"Coniothyrium_sp|MH019922|SH1554288.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium;s__Coniothyrium_sp","Fungi"
"13","ASV1009",1,97.908,NA,"Endoconidioma_populi|AY604526|SH1515066.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Endoconidioma;s__Endoconidioma_populi","Fungi"
"14","ASV101",1,96,NA,"Tremellales_sp|KY432747|SH1528238.08FU|reps|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__unidentified;g__unidentified;s__Tremellales_sp","Fungi"
"15","ASV1010",1,100,NA,"Phaeosphaeria_typharum|MK595574|SH1524238.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_typharum","Fungi"
"16","ASV1011",1,84.532,NA,"Taphrina_deformans|LC312420|SH1519968.08FU|reps|k__Fungi;p__Ascomycota;c__Taphrinomycetes;o__Taphrinales;f__Taphrinaceae;g__Taphrina;s__Taphrina_deformans","Fungi"
"17","ASV1012",1,97.368,NA,"Polyporaceae_sp|JN645088|SH1565954.08FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__unidentified;s__Polyporaceae_sp","Fungi"
"18","ASV1013",1,94.286,NA,"Pleosporales_sp|DQ420936|SH1525116.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","Fungi"
"19","ASV1014",1,96.507,NA,"Fungi_sp|Z73801|SH1518627.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","Fungi"
"20","ASV1015",2,97.198,1.97989898732233,"Plagiostoma_salicicola|MF190162|SH2013543.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Plagiostoma;s__Plagiostoma_salicicola----Ophiognomonia_micromegala|JQ414271|SH1596948.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Ophiognomonia;s__Ophiognomonia_micromegala","Fungi"
"21","ASV1016",1,99.174,NA,"Alternaria_metachromatica|JQ693660|SH1505864.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_metachromatica","Fungi"
"22","ASV1019",1,99.429,NA,"Hannaella_luteola|AF444323|SH1522791.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_luteola","Fungi"
"23","ASV102",1,99.526,NA,"Fungi_sp|EF505552|SH1595861.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","Fungi"
"24","ASV1020",1,93.388,NA,"Fungi_sp|UDB0453878|SH3326153.08FU|reps|k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","Fungi"
"25","ASV1021",2,95.652,0,"Fusarium_langsethiae|AB587021|SH1610165.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_langsethiae----Fusarium_sporotrichioides|KC254054|SH1567483.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_sporotrichioides","Fungi"
"26","ASV1022",1,97.273,NA,"Eutypella_citricola|JQ411347|SH1614262.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Diatrypaceae;g__Eutypella;s__Eutypella_citricola","Fungi"
"27","ASV1023",1,100,NA,"Trichomerium_dioscoreae|KP004468|SH1597914.08FU|refs|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Trichomerium;s__Trichomerium_dioscoreae","Fungi"
"28","ASV1026",1,99.119,NA,"Papiliotrema_aurea|AB035045|SH1576893.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_aurea","Fungi"
"29","ASV1027",1,98.312,NA,"Didymella_ocimicola|KY742078|SH1712387.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella;s__Didymella_ocimicola","Fungi"
"30","ASV1028",1,97.797,NA,"Murispora_hawksworthii|KT736086|SH1846806.08FU|refs_singleton|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Amniculicolaceae;g__Murispora;s__Murispora_hawksworthii","Fungi"
"31","ASV1029",1,100,NA,"Dioszegia_rishiriensis|KY103358|SH1609782.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia;s__Dioszegia_rishiriensis","Fungi"
"32","ASV103",1,97.03,NA,"Helotiales_sp|UDB0557995|SH1522980.08FU|reps|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__unidentified;g__unidentified;s__Helotiales_sp","Fungi"
"33","ASV1030",1,93.277,NA,"Phaeosphaeriaceae_sp|UDB026433|SH1646343.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__unidentified;s__Phaeosphaeriaceae_sp","Fungi"
"34","ASV1031",1,98.305,NA,"Discula_destructiva|AF429741|SH1596916.08FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Gnomoniaceae;g__Discula;s__Discula_destructiva","Fungi"
"35","ASV1032",1,99.177,NA,"Alternaria_metachromatica|JQ693660|SH1505864.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_metachromatica","Fungi"
"36","ASV1033",1,93.274,NA,"Dothideales_sp|AB476477|SH1542970.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__unidentified;g__unidentified;s__Dothideales_sp","Fungi"
"37","ASV1034",1,99.048,NA,"Pleosporales_sp|DQ420936|SH1525116.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","Fungi"
"38","ASV1035",1,84.19,NA,"Spiculogloeomycetes_sp|MK050380|SH2712210.08FU|reps|k__Fungi;p__Basidiomycota;c__Spiculogloeomycetes;o__unidentified;f__unidentified;g__unidentified;s__Spiculogloeomycetes_sp","Fungi"
"39","ASV1036",1,99.495,NA,"Pleurophragmium_sp|UDB099243|SH1539609.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Pleurophragmium;s__Pleurophragmium_sp","Fungi"
"40","ASV1037",2,99.58,0,"Stagonosporopsis_dennisii|GU237899|SH1920712.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_dennisii----Stagonosporopsis_loticola|GU237890|SH1920676.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_loticola","Fungi"
"41","ASV1038",1,96.491,NA,"Oculimacula_yallundae|AY266169|SH1545871.08FU|refs|k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Oculimacula;s__Oculimacula_yallundae","Fungi"
"42","ASV1039",1,99.512,NA,"Pleosporales_sp|UDB0299368|SH1524265.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","Fungi"
"43","ASV104",1,98.707,NA,"Aureobasidium_leucospermi|JN712489|SH2150008.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_leucospermi","Fungi"
"44","ASV1040",1,99.119,NA,"Papiliotrema_aurea|AB035045|SH1576893.08FU|refs|k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_aurea","Fungi"
"45","ASV1042",1,97.696,NA,"Pleosporales_sp|KJ417827|SH1646328.08FU|reps|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__Pleosporales_sp","Fungi"
"46","ASV1043",1,96.793,NA,"Spizellomycetales_sp|UDB0176321|SH3335582.08FU|reps|k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__unidentified;g__unidentified;s__Spizellomycetales_sp","Fungi"
"47","ASV1044",1,98.964,NA,"Pleurophragmium_sp|UDB099243|SH1539609.08FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Pleurophragmium;s__Pleurophragmium_sp","Fungi"
"48","ASV1045",1,94.444,NA,"Aureobasidium_leucospermi|JN712489|SH2150008.08FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Aureobasidium;s__Aureobasidium_leucospermi","Fungi"
