site,manager,plotID,managerPlotName,FHBresistance,block,species,variety,Lat.deg,Long.deg,lat,long,harvestWeight.lbs,moistPerc,testWeight.lbsPerBu,yield.lbsPerAcre,harvestLength,FHBSeverity,FgTa.Mean,FgTa.SD,FgTa.CV,DON.Mean.R1,DON.CV.R1,DON.Mean.R2,DON.CV.R2,harvestMethod
Urbana,Allen,P_01,,8,1,Triticum aestivum,AgriMaxx-495,N40 04.866',W088 13.453',40.0811,-88.224217,60.23,16.2,54,85.9271635,98.6,42.1375,0.319,0.203,63.695,0.682907417,24.17577361,1.339293896,4.033920915,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_02,,5,1,Triticum aestivum,AgriMaxx-492,N40 04.862',W088 13.454',40.081033,-88.224233,63.23,16.7,54.5,90.12591455,98.1,26.45,0.238,0.134,56.334,0.640025256,14.23552536,1.300470376,6.580312031,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_03,,9,1,Triticum aestivum,AgriMaxx-505,N40 04.858',W088 13.453',40.080967,-88.224217,59.83,14.5,54,87.62127144,98,50.1,0.27,0.095,35.01,0.60323442,13.25367625,1.357409093,5.068663263,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_04,,5,2,Triticum aestivum,AgriMaxx-492,N40 04.853',W088 13.453',40.080883,-88.224217,58.71,16.8,54.8,84.09715422,97.5,26.85,0.304,0.054,17.807,1.36030844,32.21370324,1.484193052,9.266479786,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_05,,8,2,Triticum aestivum,AgriMaxx-495,N40 04.848',W088 13.452',40.0808,-88.2242,60.42,15,53.7,86.6417219,99.5,38.325,0.396,0.247,62.385,0.8113629,14.94770444,1.316544178,2.758193325,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_06,,9,2,Triticum aestivum,AgriMaxx-505,N40 04.842',W088 13.452',40.0807,-88.2242,62.51,14.8,53.8,89.66943726,99.7,47.4,0.206,0.021,9.993,0.926120698,8.721715354,1.434116006,2.252832197,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_07,,9,3,Triticum aestivum,AgriMaxx-505,N40 04.837',W088 13.453',40.080617,-88.224217,60.64,14.6,53.8,87.19115163,99.7,38,0.344,0.089,25.891,1.210931578,32.9147504,1.343635711,5.062116996,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_08,,5,3,Triticum aestivum,AgriMaxx-492,N40 04.833',W088 13.452',40.08055,-88.2242,63.64,16.6,54.8,89.09364569,100,27.4125,0.271,0.069,25.645,0.611190664,35.64928381,1.017065872,56.04155855,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_09,,8,3,Triticum aestivum,AgriMaxx-495,N40 04.828',W088 13.453',40.080467,-88.224217,63.69,14.6,53.6,91.02877439,100.3,31.2375,0.343,0.159,46.288,1.839521442,2.785656983,1.454009585,7.088071508,"2x ~50ft length x5ft wide strips, continuous"
Urbana,Allen,P_10,,8,4,Triticum aestivum,AgriMaxx-495,N40 04.823',W088 13.453',40.080383,-88.224217,63.23,14.8,53.7,90.1596781,100.3,34.9,0.343,0.084,24.564,0.920444599,9.751664014,1.273563863,7.069600526,"2x ~50ft length x5ft wide strips, continuous"
